ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,Brisbane,Brisbane International,06-Jan,ATP250,Outdoor,Hard,The Final,3,Nishikori K.,Medvedev D.,9,16,3590,1977,6,4,3,6,6,2,,,,,2,1,Completed
2,Doha,Qatar Exxon Mobil Open,05-Jan,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Berdych T.,24,71,1605,715,6,4,3,6,6,3,,,,,2,1,Completed
3,Pune,Maharashtra Open,05-Jan,ATP250,Outdoor,Hard,The Final,3,Anderson K.,Karlovic I.,6,100,4710,589,7,6,6,7,7,6,,,,,2,1,Completed
4,Auckland,ASB Classic,12-Jan,ATP250,Outdoor,Hard,The Final,3,Sandgren T.,Norrie C.,63,93,814,616,6,4,6,2,,,,,,,2,0,Completed
5,Sydney,Sydney International,12-Jan,ATP250,Outdoor,Hard,The Final,3,De Minaur A.,Seppi A.,29,37,1253,1100,7,5,7,6,,,,,,,2,0,Completed
8,Montpellier,Open Sud de France,10-Feb,ATP250,Indoor,Hard,The Final,3,Tsonga J.W.,Herbert P.H.,210,44,245,983,6,4,6,2,,,,,,,2,0,Completed
9,Sofia,Sofia Open,10-Feb,ATP250,Indoor,Hard,The Final,3,Medvedev D.,Fucsovics M.,16,47,2000,959,6,4,6,3,,,,,,,2,0,Completed
11,New York,New York Open,17-Feb,ATP250,Indoor,Hard,The Final,3,Opelka R.,Schnur B.,89,154,633,367,6,1,6,7,7,6,,,,,2,1,Completed
12,Rotterdam,ABN AMRO World Tennis Tournament,17-Feb,ATP500,Indoor,Hard,The Final,3,Monfils G.,Wawrinka S.,33,68,1240,740,6,3,1,6,6,2,,,,,2,1,Completed
13,Delray Beach,Delray Beach Open,24-Feb,ATP250,Outdoor,Hard,The Final,3,Albot R.,Evans D.,82,148,680,384,3,6,6,3,7,6,,,,,2,1,Completed
14,Marseille,Open 13,24-Feb,ATP250,Indoor,Hard,The Final,3,Tsitsipas S.,Kukushkin M.,12,50,2805,945,7,5,7,6,,,,,,,2,0,Completed
16,Acapulco,Abierto Mexicano,03-Mar,ATP500,Outdoor,Hard,The Final,3,Kyrgios N.,Zverev A.,72,3,750,6475,6,3,6,4,,,,,,,2,0,Completed
17,Dubai ,Dubai Tennis Championships,02-Mar,ATP500,Outdoor,Hard,The Final,3,Federer R.,Tsitsipas S.,7,11,4100,2965,6,4,6,4,,,,,,,2,0,Completed
19,Indian Wells,BNP Paribas Open,17-Mar,Masters 1000,Outdoor,Hard,The Final,3,Thiem D.,Federer R.,8,4,3800,4600,3,6,6,3,7,5,,,,,2,1,Completed
20,Miami,Sony Ericsson Open,31-Mar,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Isner J.,5,9,4600,3485,6,1,6,4,,,,,,,2,0,Completed
43,Atlanta,BB&T Atlanta Open,28-Jul,ATP250,Outdoor,Hard,The Final,3,De Minaur A.,Fritz T.,34,32,1285,1320,6,3,7,6,,,,,,,2,0,Completed
