ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
37,Newport,Hall of Fame Championships,10-07-2011,ATP250,Outdoor,Grass,The Final,3,Isner J.,Rochus O.,46,74,990,678,6,3,7,6,,,,,,,2,0,Completed
33,Halle,Gerry Weber Open,17-Jun,ATP250,Outdoor,Grass,The Final,3,Haas T.,Federer R.,87,3,598,9310,7,6,6,4,,,,,,,2,0,Completed
34,Queens Club,AEGON Championships,17-Jun,ATP250,Outdoor,Grass,The Final,3,Cilic M.,Nalbandian D.,25,39,1460,1015,6,7,4,3,,,,,,,0,1,Disqualified
35,Eastbourne,AEGON International,23-Jun,ATP250,Outdoor,Grass,The Final,3,Roddick A.,Seppi A.,33,26,1190,1285,6,3,6,2,,,,,,,2,0,Completed
36,'s-Hertogenbosch,Unicef Open,23-Jun,ATP250,Outdoor,Grass,The Final,3,Ferrer D.,Petzschner P.,6,145,5180,372,6,3,6,4,,,,,,,2,0,Completed
39,Newport,Hall of Fame Championships,15-Jul,ATP250,Outdoor,Grass,The Final,3,Isner J.,Hewitt L.,11,233,2520,200,7,6,6,4,,,,,,,2,0,Completed
33,Halle,Gerry Weber Open,16-Jun,ATP250,Outdoor,Grass,The Final,3,Federer R.,Youzhny M.,3,29,7640,1355,6,7,6,3,6,4,,,,,2,0,Completed
34,Queens Club,AEGON Championships,16-Jun,ATP250,Outdoor,Grass,The Final,3,Murray A.,Cilic M.,2,12,8310,2570,5,7,7,5,6,3,,,,,2,1,Completed
35,Eastbourne,AEGON International,22-Jun,ATP250,Outdoor,Grass,The Final,3,Lopez F.,Simon G.,39,17,1015,1985,7,6,6,7,6,0,,,,,2,1,Completed
36,'s-Hertogenbosch,Topshelf Open,22-Jun,ATP250,Outdoor,Grass,The Final,3,Mahut N.,Wawrinka S.,240,10,198,2810,6,3,6,4,,,,,,,2,0,Completed
39,Newport,Hall of Fame Championships,14-Jul,ATP250,Outdoor,Grass,The Final,3,Mahut N.,Hewitt L.,127,64,460,755,5,7,7,5,6,3,,,,,2,1,Completed
33,Halle,Gerry Weber Open,15-Jun,ATP250,Outdoor,Grass,The Final,3,Federer R.,Falla A.,4,69,4945,713,7,6,7,6,,,,,,,2,0,Completed
