ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
30,Dusseldorf,Power Horse Cup,25-May,ATP250,Outdoor,Clay,The Final,3,Monaco J.,Nieminen J.,19,42,1750,945,6,4,6,3,,,,,,,2,0,Completed
31,Nice,Open de Nice Côte d’Azur,25-May,ATP250,Outdoor,Clay,The Final,3,Montanes A.,Monfils G.,82,109,637,510,6,0,7,6,,,,,,,2,0,Completed
38,Bastad,SkiStar Swedish Open,14-Jul,ATP250,Outdoor,Clay,The Final,3,Berlocq C.,Verdasco F.,74,35,690,1095,7,5,6,1,,,,,,,2,0,Completed
40,Stuttgart,Mercedes Cup,14-Jul,ATP250,Outdoor,Clay,The Final,3,Fognini F.,Kohlschreiber P.,31,25,1310,1535,5,7,6,4,6,4,,,,,2,1,Completed
41,Bogota,Claro Open Colombia,21-Jul,ATP250,Outdoor,Clay,The Final,3,Karlovic I.,Falla A.,155,122,355,466,6,3,7,6,,,,,,,0,0,Completed
42,Hamburg,German Open Tennis Championships,21-Jul,ATP500,Outdoor,Clay,The Final,3,Fognini F.,Delbonis F.,25,114,1515,507,4,6,7,6,6,2,,,,,2,1,Completed
44,Gstaad,Crédit Agricole Suisse Open Gstaad,28-Jul,ATP250,Outdoor,Clay,The Final,3,Youzhny M.,Haase R.,33,57,1235,817,6,3,6,4,,,,,,,2,0,Completed
45,Umag,ATP Vegeta Croatia Open,28-Jul,ATP250,Outdoor,Clay,The Final,3,Robredo T.,Fognini F.,28,19,1335,1970,6,0,6,3,,,,,,,2,0,Completed
46,Kitzbuhel,Bet-At-Home Cup,03-Aug,ATP250,Outdoor,Clay,The Final,3,Granollers M.,Monaco J.,53,31,870,1270,0,6,7,6,6,4,,,,,2,1,Completed
8,Vina del Mar,Royal Guard Open Chile ,09-Feb,ATP250,Outdoor,Clay,The Final,3,Fognini F.,Mayer L.,15,91,2100,614,6,2,6,4,,,,,,,2,0,Completed
10,Buenos Aires,Copa Claro,16-Feb,ATP250,Outdoor,Clay,The Final,3,Ferrer D.,Fognini F.,5,14,5280,2260,6,4,6,3,,,,,,,2,0,Completed
15,Rio de Janeiro,Rio Open,23-Feb,ATP500,Outdoor,Clay,The Final,3,Nadal R.,Dolgopolov O.,1,54,14085,860,6,3,7,6,,,,,,,2,0,Completed
18,Sao Paulo,Brasil Open,02-Mar,ATP250,Indoor,Clay,The Final,3,Delbonis F.,Bellucci T.,61,114,744,512,4,6,6,3,6,4,,,,,2,1,Completed
21,Casablanca,Grand Prix Hassan II,13-Apr,ATP250,Outdoor,Clay,The Final,3,Garcia-Lopez G.,Granollers M.,53,36,866,1110,5,7,6,4,6,3,,,,,2,1,Completed
22,Houston,U.S. Men's Clay Court Championships,13-Apr,ATP250,Outdoor,Clay,The Final,3,Verdasco F.,Almagro N.,29,20,1270,1750,6,3,7,6,,,,,,,2,0,Completed
23,Monte Carlo,Monte Carlo Masters,20-Apr,Masters 1000,Outdoor,Clay,The Final,3,Wawrinka S.,Federer R.,3,4,5760,5355,4,6,7,6,6,2,,,,,2,1,Completed
24,Barcelona,Open Banco Sabadell ,27-Apr,ATP500,Outdoor,Clay,The Final,3,Nishikori K.,Giraldo S.,17,65,1985,703,6,2,6,2,,,,,,,2,0,Completed
25,Bucharest,BRD Nastase Tiriac Trophy,27-Apr,ATP250,Outdoor,Clay,The Final,3,Dimitrov G.,Rosol L.,16,43,2040,1016,7,6,6,1,,,,,,,2,0,Completed
26,Munich,BMW Open,04-May,ATP250,Outdoor,Clay,The Final,3,Klizan M.,Fognini F.,111,15,533,2190,2,6,6,1,6,2,,,,,2,1,Completed
27,Oeiras,Portugal Open,04-May,ATP250,Outdoor,Clay,The Final,3,Berlocq C.,Berdych T.,62,6,735,4720,0,6,7,5,6,1,,,,,2,1,Completed
28,Madrid,Mutua Madrid Open,11-May,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Nishikori K.,1,12,12900,2440,2,6,6,4,3,0,,,,,1,1,Retired
29,Rome,Internazionali BNL d'Italia,18-May,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Nadal R.,2,1,11030,12900,4,6,6,3,6,3,,,,,2,1,Completed
30,Dusseldorf,Dusseldorf Open,24-May,ATP250,Outdoor,Clay,The Final,3,Kohlschreiber P.,Karlovic I.,29,49,1280,947,6,2,7,6,,,,,,,2,0,Completed
31,Nice,Open de Nice Côte d’Azur,24-May,ATP250,Outdoor,Clay,The Final,3,Gulbis E.,Delbonis F.,19,45,1890,1004,6,1,7,6,,,,,,,2,0,Completed
38,Bastad,SkiStar Swedish Open,13-Jul,ATP250,Outdoor,Clay,The Final,3,Cuevas P.,Sousa J.,111,40,541,1020,6,2,6,1,,,,,,,2,0,Completed
40,Stuttgart,Mercedes Cup,13-Jul,ATP250,Outdoor,Clay,The Final,3,Bautista R.,Rosol L.,23,48,1625,900,6,3,4,6,6,2,,,,,2,1,Completed
41,Bogota,Claro Open Colombia,20-Jul,ATP250,Outdoor,Clay,The Final,3,Tomic B.,Karlovic I.,124,29,496,1280,7,6,3,6,7,6,,,,,2,1,Completed
42,Hamburg,bet-at-home Open,20-Jul,ATP500,Outdoor,Clay,The Final,3,Mayer L.,Ferrer D.,46,7,919,3875,6,7,6,1,7,6,,,,,2,1,Completed
44,Gstaad,Crédit Agricole Suisse Open Gstaad,27-Jul,ATP250,Outdoor,Clay,The Final,3,Andujar P.,Monaco J.,71,105,736,550,6,3,7,5,,,,,,,2,0,Completed
45,Umag,ATP Vegeta Croatia Open,27-Jul,ATP250,Outdoor,Clay,The Final,3,Cuevas P.,Robredo T.,60,18,791,1745,6,3,6,4,,,,,,,2,0,Completed
46,Kitzbuhel,Bet-At-Home Cup,02-Aug,ATP250,Outdoor,Clay,The Final,3,Goffin D.,Thiem D.,78,50,693,882,4,6,6,1,6,3,,,,,2,1,Completed
8,Quito,Ecuador Open,08-02-2015,ATP250,Outdoor,Clay,The Final,3,Estrella Burgos V.,Lopez F.,76,14,674,2220,6,2,6,7,7,6,,,,,2,1,Completed
